"sample","n_m2_cells","mean_m2ts","median_m2ts"
"P1",1147,-0.0762093262813502,-0.102555081347005
"P10",3334,0.0277492586766709,0.0327518399194494
"P2",490,-0.129149925264297,-0.138123238643743
"P3",541,-0.0862278902335289,-0.0903381436032125
"P4",2221,0.0060272049123137,0.00700398942020475
"P5",1368,-0.0905969736833812,-0.100905606691902
"P6",1187,-0.0605115426465624,-0.0722593407467508
"P7",1490,0.164193250197144,0.172531693675665
"P8",2254,0.169225589636386,0.166756108181112
"P9",1116,-0.0233773746292361,-0.0275369025356123
